STATE,SEX,BIRTH_YEAR,NAME
AK,F,1910,Mary
AK,F,1911,Mary
AK,F,1912,Mary
AK,F,1913,Mary
AK,F,1914,Mary
AK,F,1915,Mary
AK,F,1916,Mary
AK,F,1917,Mary
AK,F,1918,Mary
AK,F,1919,Mary
AK,F,1920,Mary
AK,F,1921,Mary
AK,F,1922,Mary
AK,F,1923,Mary
AK,F,1924,Mary
AK,F,1925,Mary
AK,F,1926,Mary
AK,F,1927,Mary
AK,F,1928,Mary
AK,F,1929,Mary
AK,F,1930,Mary
AK,F,1931,Mary
AK,F,1932,Mary
AK,F,1933,Mary
AK,F,1934,Mary
AK,F,1935,Mary
AK,F,1936,Mary
AK,F,1937,Mary
AK,F,1938,Mary
AK,F,1939,Mary
AK,F,1940,Mary
AK,F,1941,Mary
AK,F,1942,Mary
AK,F,1943,Mary
AK,F,1944,Mary
AK,F,1945,Mary
AK,F,1946,Mary
AK,F,1947,Mary
AK,F,1948,Mary
AK,F,1949,Mary
AK,F,1950,Mary
AK,F,1951,Linda
AK,F,1952,Linda
AK,F,1953,Linda
AK,F,1954,Debra
AK,F,1955,Debra
AK,F,1956,Debra
AK,F,1957,Mary
AK,F,1958,Mary
AK,F,1959,Mary
AK,F,1960,Mary
AK,F,1961,Mary
AK,F,1962,Mary
AK,F,1963,Mary
AK,F,1964,Mary
AK,F,1965,Lisa
AK,F,1966,Mary
AK,F,1967,Lisa
AK,F,1968,Michelle
AK,F,1969,Michelle
AK,F,1970,Jennifer
AK,F,1971,Jennifer
AK,F,1972,Jennifer
AK,F,1973,Jennifer
AK,F,1974,Jennifer
AK,F,1975,Jennifer
AK,F,1976,Jennifer
AK,F,1977,Jennifer
AK,F,1978,Jennifer
AK,F,1979,Jennifer
AK,F,1980,Jessica
AK,F,1981,Jennifer
AK,F,1982,Jennifer
AK,F,1983,Jennifer
AK,F,1984,Jessica
AK,F,1985,Jessica
AK,F,1986,Jessica
AK,F,1987,Jessica
AK,F,1988,Jessica
AK,F,1989,Jessica
AK,F,1990,Jessica
AK,F,1991,Jessica
AK,F,1992,Jessica
AK,F,1993,Jessica
AK,F,1994,Jessica
AK,F,1995,Samantha
