STATE,SEX,BIRTH_YEAR,NAME
AK,M,1910,John
AK,M,1911,John
AK,M,1912,John
AK,M,1913,John
AK,M,1914,John
AK,M,1915,John
AK,M,1916,John
AK,M,1917,John
AK,M,1918,William
AK,M,1919,John
AK,M,1920,John
AK,M,1921,John
AK,M,1922,William
AK,M,1923,John
AK,M,1924,John
AK,M,1925,John
AK,M,1926,John
AK,M,1927,John
AK,M,1928,John
AK,M,1929,John
AK,M,1930,John
AK,M,1931,John
AK,M,1932,John
AK,M,1933,John
AK,M,1934,John
AK,M,1935,John
AK,M,1936,Robert
AK,M,1937,Robert
AK,M,1938,Robert
AK,M,1939,John
AK,M,1940,John
AK,M,1941,Robert
AK,M,1942,John
AK,M,1943,John
AK,M,1944,Robert
AK,M,1945,Robert
AK,M,1946,John
AK,M,1947,John
AK,M,1948,John
AK,M,1949,John
AK,M,1950,Robert
AK,M,1951,Robert
AK,M,1952,James
AK,M,1953,David
AK,M,1954,Michael
AK,M,1955,David
AK,M,1956,Michael
AK,M,1957,John
AK,M,1958,Michael
AK,M,1959,John
AK,M,1960,David
AK,M,1961,David
AK,M,1962,John
AK,M,1963,David
AK,M,1964,John
AK,M,1965,John
AK,M,1966,Michael
AK,M,1967,Michael
AK,M,1968,John
AK,M,1969,Michael
AK,M,1970,Michael
AK,M,1971,John
AK,M,1972,Michael
AK,M,1973,Michael
AK,M,1974,Michael
AK,M,1975,Michael
AK,M,1976,Jason
AK,M,1977,Michael
AK,M,1978,Michael
AK,M,1979,Christopher
AK,M,1980,Michael
AK,M,1981,Michael
AK,M,1982,Michael
AK,M,1983,Christopher
AK,M,1984,Christopher
AK,M,1985,Michael
AK,M,1986,Michael
AK,M,1987,Christopher
AK,M,1988,Michael
AK,M,1989,Michael
AK,M,1990,Michael
AK,M,1991,Michael
AK,M,1992,Michael
AK,M,1993,Michael
AK,M,1994,Michael
AK,M,1995,Michael
AK,M,1996,Michael
AK,M,1997,Jacob
AK,M,1998,Michael
AK,M,1999,Jacob
AK,M,2000,Michael
AK,M,2001,Michael
AK,M,2002,Jacob
AK,M,2003,Jacob
AK,M,2004,Ethan
AK,M,2005,Ethan
AK,M,2006,James
AK,M,2007,Aiden
AK,M,2008,James
AK,M,2009,Michael
AK,M,2010,William
AK,M,2011,Mason
AK,M,2012,James
AK,M,2013,Liam
AK,M,2014,Liam
AK,M,2015,Liam
AK,M,2016,William
AK,M,2017,James
AK,M,2018,Oliver
AL,M,1910,James
AL,M,1911,James
AL,M,1912,James
AL,M,1913,James
AL,M,1914,James
AL,M,1915,James
AL,M,1916,James
AL,M,1917,James
AL,M,1918,James
AL,M,1919,James
AL,M,1920,James
AL,M,1921,James
AL,M,1922,James
AL,M,1923,James
AL,M,1924,James
AL,M,1925,James
AL,M,1926,James
AL,M,1927,James
AL,M,1928,James
AL,M,1929,James
AL,M,1930,James
AL,M,1931,James
AL,M,1932,James
AL,M,1933,James
AL,M,1934,James
AL,M,1935,James
AL,M,1936,James
AL,M,1937,James
AL,M,1938,James
AL,M,1939,James
AL,M,1940,James
AL,M,1941,James
AL,M,1942,James
AL,M,1943,James
AL,M,1944,James
AL,M,1945,James
AL,M,1946,James
AL,M,1947,James
AL,M,1948,James
AL,M,1949,James
AL,M,1950,James
AL,M,1951,James
AL,M,1952,James
AL,M,1953,James
AL,M,1954,James
AL,M,1955,James
AL,M,1956,James
AL,M,1957,James
AL,M,1958,James
AL,M,1959,James
AL,M,1960,James
AL,M,1961,James
AL,M,1962,James
AL,M,1963,James
AL,M,1964,James
AL,M,1965,James
AL,M,1966,James
AL,M,1967,James
AL,M,1968,James
AL,M,1969,James
AL,M,1970,James
AL,M,1971,Michael
AL,M,1972,Michael
AL,M,1973,Christopher
AL,M,1974,Christopher
AL,M,1975,Michael
AL,M,1976,Michael
AL,M,1977,Christopher
AL,M,1978,James
AL,M,1979,Christopher
AL,M,1980,Christopher
AL,M,1981,Christopher
AL,M,1982,Christopher
AL,M,1983,Christopher
AL,M,1984,Christopher
AL,M,1985,Christopher
AL,M,1986,Christopher
AL,M,1987,Christopher
AL,M,1988,Justin
AL,M,1989,Christopher
AL,M,1990,Christopher
AL,M,1991,Christopher
AL,M,1992,Christopher
AL,M,1993,Christopher
AL,M,1994,Christopher
AL,M,1995,William
AL,M,1996,William
AL,M,1997,William
AL,M,1998,William
AL,M,1999,William
AL,M,2000,William
AL,M,2001,William
AL,M,2002,William
AL,M,2003,William
AL,M,2004,William
AL,M,2005,William
AL,M,2006,William
AL,M,2007,William
AL,M,2008,William
AL,M,2009,William
AL,M,2010,William
AL,M,2011,William
AL,M,2012,William
AL,M,2013,William
AL,M,2014,William
AL,M,2015,William
AL,M,2016,William
AL,M,2017,William
AL,M,2018,William
AR,M,1910,James
AR,M,1911,James
AR,M,1912,James
AR,M,1913,James
AR,M,1914,James
AR,M,1915,James
AR,M,1916,James
AR,M,1917,James
AR,M,1918,James
AR,M,1919,James
AR,M,1920,James
AR,M,1921,James
AR,M,1922,James
AR,M,1923,James
AR,M,1924,James
AR,M,1925,James
AR,M,1926,James
AR,M,1927,James
AR,M,1928,James
AR,M,1929,James
AR,M,1930,James
AR,M,1931,James
AR,M,1932,James
AR,M,1933,James
AR,M,1934,James
AR,M,1935,James
AR,M,1936,James
AR,M,1937,James
AR,M,1938,James
AR,M,1939,James
AR,M,1940,James
AR,M,1941,James
AR,M,1942,James
AR,M,1943,James
AR,M,1944,James
AR,M,1945,James
AR,M,1946,James
AR,M,1947,James
AR,M,1948,James
AR,M,1949,James
AR,M,1950,James
AR,M,1951,James
AR,M,1952,James
AR,M,1953,James
AR,M,1954,James
AR,M,1955,James
AR,M,1956,James
AR,M,1957,James
AR,M,1958,James
AR,M,1959,James
AR,M,1960,James
AR,M,1961,James
AR,M,1962,James
AR,M,1963,James
AR,M,1964,James
AR,M,1965,James
AR,M,1966,James
AR,M,1967,James
AR,M,1968,James
AR,M,1969,Michael
AR,M,1970,James
AR,M,1971,Michael
AR,M,1972,Michael
AR,M,1973,Michael
AR,M,1974,Michael
AR,M,1975,Michael
AR,M,1976,Jason
AR,M,1977,Jason
AR,M,1978,Jason
AR,M,1979,Michael
AR,M,1980,Michael
AR,M,1981,Joshua
AR,M,1982,Christopher
AR,M,1983,Christopher
AR,M,1984,Christopher
AR,M,1985,Christopher
AR,M,1986,Christopher
AR,M,1987,Christopher
AR,M,1988,Christopher
AR,M,1989,Christopher
AR,M,1990,Christopher
AR,M,1991,Christopher
AR,M,1992,Christopher
AR,M,1993,Christopher
AR,M,1994,Michael
AR,M,1995,Tyler
AR,M,1996,Jacob
AR,M,1997,Jacob
AR,M,1998,Jacob
AR,M,1999,Jacob
AR,M,2000,Jacob
AR,M,2001,Jacob
AR,M,2002,Jacob
AR,M,2003,Jacob
AR,M,2004,Jacob
AR,M,2005,Ethan
AR,M,2006,William
AR,M,2007,William
AR,M,2008,Jacob
AR,M,2009,William
AR,M,2010,William
AR,M,2011,William
AR,M,2012,William
AR,M,2013,William
AR,M,2014,Mason
AR,M,2015,William
AR,M,2016,Elijah
AR,M,2017,Elijah
AR,M,2018,Noah
AZ,M,1910,John
AZ,M,1911,John
AZ,M,1912,John
AZ,M,1913,John
AZ,M,1914,William
AZ,M,1915,John
AZ,M,1916,John
AZ,M,1917,John
AZ,M,1918,John
AZ,M,1919,John
AZ,M,1920,John
AZ,M,1921,John
AZ,M,1922,John
AZ,M,1923,John
AZ,M,1924,John
AZ,M,1925,John
AZ,M,1926,Robert
AZ,M,1927,John
AZ,M,1928,John
AZ,M,1929,Robert
AZ,M,1930,Robert
AZ,M,1931,Robert
AZ,M,1932,Robert
AZ,M,1933,Robert
AZ,M,1934,Robert
AZ,M,1935,Robert
AZ,M,1936,Robert
AZ,M,1937,Robert
AZ,M,1938,Robert
AZ,M,1939,Robert
AZ,M,1940,Robert
AZ,M,1941,Robert
AZ,M,1942,Robert
AZ,M,1943,Robert
AZ,M,1944,Robert
AZ,M,1945,Robert
AZ,M,1946,Robert
AZ,M,1947,Robert
AZ,M,1948,Robert
AZ,M,1949,John
AZ,M,1950,Robert
AZ,M,1951,Robert
AZ,M,1952,Robert
AZ,M,1953,David
AZ,M,1954,Robert
AZ,M,1955,David
AZ,M,1956,David
AZ,M,1957,David
AZ,M,1958,Robert
AZ,M,1959,David
AZ,M,1960,David
AZ,M,1961,David
AZ,M,1962,David
AZ,M,1963,David
AZ,M,1964,David
AZ,M,1965,Michael
AZ,M,1966,Michael
AZ,M,1967,Michael
AZ,M,1968,Michael
AZ,M,1969,Michael
AZ,M,1970,Michael
AZ,M,1971,Michael
AZ,M,1972,Michael
AZ,M,1973,Michael
AZ,M,1974,Michael
AZ,M,1975,Michael
AZ,M,1976,Michael
AZ,M,1977,Michael
AZ,M,1978,Michael
AZ,M,1979,Michael
AZ,M,1980,Michael
AZ,M,1981,Michael
AZ,M,1982,Michael
AZ,M,1983,Michael
AZ,M,1984,Michael
AZ,M,1985,Michael
AZ,M,1986,Michael
AZ,M,1987,Michael
AZ,M,1988,Michael
AZ,M,1989,Michael
AZ,M,1990,Michael
AZ,M,1991,Michael
AZ,M,1992,Michael
AZ,M,1993,Michael
AZ,M,1994,Michael
AZ,M,1995,Michael
AZ,M,1996,Michael
AZ,M,1997,Jacob
AZ,M,1998,Jacob
AZ,M,1999,Jacob
AZ,M,2000,Jacob
AZ,M,2001,Jacob
AZ,M,2002,Jacob
AZ,M,2003,Jacob
AZ,M,2004,Jose
AZ,M,2005,Angel
AZ,M,2006,Angel
AZ,M,2007,Angel
AZ,M,2008,Anthony
AZ,M,2009,Jacob
AZ,M,2010,Jacob
AZ,M,2011,Jacob
AZ,M,2012,Jacob
AZ,M,2013,Noah
AZ,M,2014,Noah
AZ,M,2015,Noah
AZ,M,2016,Noah
AZ,M,2017,Liam
AZ,M,2018,Liam
CA,M,1910,John
CA,M,1911,John
CA,M,1912,John
CA,M,1913,John
CA,M,1914,John
CA,M,1915,John
CA,M,1916,John
CA,M,1917,John
CA,M,1918,Robert
CA,M,1919,Robert
CA,M,1920,Robert
CA,M,1921,Robert
CA,M,1922,Robert
CA,M,1923,Robert
CA,M,1924,Robert
CA,M,1925,Robert
CA,M,1926,Robert
CA,M,1927,Robert
CA,M,1928,Robert
CA,M,1929,Robert
CA,M,1930,Robert
CA,M,1931,Robert
CA,M,1932,Robert
CA,M,1933,Robert
CA,M,1934,Robert
CA,M,1935,Robert
CA,M,1936,Robert
CA,M,1937,Robert
CA,M,1938,Robert
CA,M,1939,Robert
CA,M,1940,Robert
CA,M,1941,Robert
CA,M,1942,Robert
